001 application/x-001
sdp application/sdp
sit application/x-stuffit
sld application/x-sld
smi application/smil
smk application/x-smk
sol text/plain
spc application/x-pkcs7-certificates
spp text/xml
sst application/vnd.ms-pki.certstore
stm text/html
svg text/xml
tdf application/x-tdf
tga application/x-tga
tif application/x-tif
tld text/xml
torrent application/x-bittorrent
txt text/plain
uls text/iuls
vda application/x-vda
vml text/xml
vsd application/vnd.visio
vss application/vnd.visio
vst application/x-vst
vsx application/vnd.visio
vxml text/xml
wax audio/x-ms-wax
wb2 application/x-wb2
wbmp image/vnd.wap.wbmp
wk3 application/x-wk3
wkq application/x-wkq
wm video/x-ms-wm
wmd application/x-ms-wmd
wml text/vnd.wap.wml
wmx video/x-ms-wmx
wp6 application/x-wp6
wpg application/x-wpg
wq1 application/x-wq1
wri application/x-wri
ws application/x-ws
wsc text/scriptlet
wvx video/x-ms-wvx
xdr text/xml
xfdf application/vnd.adobe.xfdf
xls application/vnd.ms-excel
xlw application/x-xlw
xpl audio/scpls
xql text/xml
xsd text/xml
xslt text/xml
x_b application/x-x_b
sisx application/vnd.symbian.install
ipa application/vnd.iphone
xap application/x-silverlight-app
